i,j,pi_i,pi_j,pi_i_pi_j,pi_ij_cube,pi_ij_sphere,cov_cube,cov_sphere,delta,contrast_sq,aux_dist_sq,syg_contrib_cube,syg_contrib_sphere,syg_contrib_delta
0,1,0.4,0.4,0.16000000000000003,0.172,0.164,0.011999999999999955,0.003999999999999976,-0.00799999999999998,6.25,59.92627401745673,-0.07499999999999972,-0.02499999999999985,0.04999999999999987
0,2,0.4,0.4,0.16000000000000003,0.088,0.078,-0.07200000000000004,-0.08200000000000003,-0.009999999999999995,0.0,44.08210236418833,0.0,0.0,0.0
0,3,0.4,0.4,0.16000000000000003,0.184,0.19,0.023999999999999966,0.02999999999999997,0.006000000000000005,6.25,142.57829390449945,-0.1499999999999998,-0.18749999999999983,-0.03750000000000003
0,4,0.4,0.4,0.16000000000000003,0.146,0.138,-0.01400000000000004,-0.02200000000000002,-0.00799999999999998,6.25,37.875434129752826,0.08750000000000024,0.13750000000000012,0.04999999999999988
0,5,0.4,0.4,0.16000000000000003,0.136,0.156,-0.02400000000000002,-0.004000000000000031,0.01999999999999999,0.0,103.48598107382361,0.0,0.0,0.0
0,6,0.4,0.4,0.16000000000000003,0.096,0.116,-0.06400000000000003,-0.044000000000000025,0.020000000000000004,0.0,9.338942712860726,0.0,0.0,0.0
0,7,0.4,0.4,0.16000000000000003,0.158,0.122,-0.0020000000000000295,-0.038000000000000034,-0.036000000000000004,0.0,57.46896143187862,0.0,0.0,0.0
0,8,0.4,0.4,0.16000000000000003,0.116,0.126,-0.044000000000000025,-0.03400000000000003,0.009999999999999995,6.25,20.896175963233087,0.27500000000000013,0.2125000000000002,-0.062499999999999944
0,9,0.4,0.4,0.16000000000000003,0.176,0.162,0.01599999999999996,0.001999999999999974,-0.013999999999999985,6.25,43.69026172647584,-0.09999999999999974,-0.012499999999999838,0.08749999999999991
0,10,0.4,0.4,0.16000000000000003,0.206,0.2,0.04599999999999996,0.03999999999999998,-0.005999999999999978,6.25,52.32849699056612,-0.28749999999999976,-0.2499999999999999,0.03749999999999987
0,11,0.4,0.4,0.16000000000000003,0.152,0.176,-0.008000000000000035,0.01599999999999996,0.023999999999999994,6.25,35.280764540166096,0.05000000000000022,-0.09999999999999974,-0.14999999999999997
0,12,0.4,0.4,0.16000000000000003,0.172,0.178,0.011999999999999955,0.01799999999999996,0.006000000000000005,6.25,73.76023323017952,-0.07499999999999972,-0.11249999999999975,-0.03750000000000003
0,13,0.4,0.4,0.16000000000000003,0.198,0.174,0.03799999999999998,0.013999999999999957,-0.02400000000000002,0.0,56.8938207022734,-0.0,-0.0,0.0
0,14,0.4,0.4,0.16000000000000003,0.182,0.154,0.021999999999999964,-0.006000000000000033,-0.027999999999999997,6.25,100.52131234680466,-0.1374999999999998,0.03750000000000021,0.175
0,15,0.4,0.4,0.16000000000000003,0.16,0.128,-2.7755575615628914e-17,-0.03200000000000003,-0.032,0.0,47.361238621103745,0.0,0.0,0.0
0,16,0.4,0.4,0.16000000000000003,0.132,0.128,-0.028000000000000025,-0.03200000000000003,-0.0040000000000000036,6.25,80.73354980356004,0.17500000000000016,0.20000000000000018,0.025000000000000022
0,17,0.4,0.4,0.16000000000000003,0.156,0.152,-0.004000000000000031,-0.008000000000000035,-0.0040000000000000036,6.25,51.2302927430931,0.025000000000000196,0.05000000000000022,0.025000000000000022
0,18,0.4,0.4,0.16000000000000003,0.214,0.21,0.053999999999999965,0.04999999999999996,-0.0040000000000000036,0.0,147.88482596928404,-0.0,-0.0,0.0
0,19,0.4,0.4,0.16000000000000003,0.142,0.136,-0.018000000000000044,-0.02400000000000002,-0.005999999999999978,6.25,77.88386235590237,0.11250000000000027,0.15000000000000013,0.03749999999999987
0,20,0.4,0.4,0.16000000000000003,0.2,0.176,0.03999999999999998,0.01599999999999996,-0.02400000000000002,0.0,93.91639140079693,-0.0,-0.0,0.0
0,21,0.4,0.4,0.16000000000000003,0.17,0.142,0.009999999999999981,-0.018000000000000044,-0.028000000000000025,6.25,70.70675993425165,-0.06249999999999988,0.11250000000000027,0.17500000000000016
0,22,0.4,0.4,0.16000000000000003,0.156,0.136,-0.004000000000000031,-0.02400000000000002,-0.01999999999999999,0.0,16.068494444468033,0.0,0.0,0.0
0,23,0.4,0.4,0.16000000000000003,0.18,0.166,0.019999999999999962,0.005999999999999978,-0.013999999999999985,6.25,58.297732592842884,-0.12499999999999976,-0.03749999999999986,0.08749999999999991
