i,j,pi_i,pi_j,pi_i_pi_j,pi_ij_cube,pi_ij_sphere,cov_cube,cov_sphere,delta,contrast_sq,aux_dist_sq,syg_contrib_cube,syg_contrib_sphere,syg_contrib_delta
0,1,0.40144579354837306,0.2302522375803923,0.0924337922317491,0.134,0.1242,0.0415662077682509,0.0317662077682509,-0.009800000000000003,14.152822348061308,744.5251853688294,-0.5882791542266609,-0.44958149521566004,0.13869765901100084
0,2,0.40144579354837306,0.7432447021158329,0.29837245924151473,0.3034,0.292,0.005027540758485272,-0.00637245924151475,-0.011400000000000021,3.8833714610129424,105.24936382396979,-0.019523808300581067,0.02474662635496656,0.04427043465554763
0,3,0.40144579354837306,0.5881609198522387,0.23611472720422302,0.2652,0.2656,0.029085272795776967,0.02948527279577698,0.00040000000000001146,5.334859545021097,114.79862432248396,-0.1551658451940932,-0.1572997890121017,-0.0021339438180084935
0,4,0.40144579354837306,0.35347646367044305,0.14190163945885367,0.1536,0.159,0.011698360541146313,0.01709836054114633,0.005400000000000016,6.978946559464562,110.22447836611644,-0.08164223305000906,-0.1193285444711178,-0.037686311421108745
0,5,0.40144579354837306,0.2462007942881967,0.09883627323526488,0.0734,0.0738,-0.025436273235264872,-0.025036273235264875,0.0003999999999999976,1.0281410047425552,703.9116592929048,0.02615207552101139,0.025740819119114373,-0.00041125640189701787
0,6,0.40144579354837306,0.2523668605643421,0.10131161460456393,0.0776,0.081,-0.023711614604563933,-0.020311614604563932,0.0034000000000000002,35.22818719891701,217.88100188611307,0.8353171980781529,0.715541361601835,-0.11977583647631784
0,7,0.40144579354837306,0.2498529618398943,0.10030242053622775,0.112,0.1114,0.011697579463772256,0.011097579463772253,-0.0006000000000000033,4.3123750759288315,658.1629286252305,-0.05044435012826842,-0.04785692508271111,0.0025874250455573122
0,8,0.40144579354837306,0.23864506254115914,0.09580305650823676,0.0756,0.0724,-0.020203056508236755,-0.02340305650823675,-0.0031999999999999945,0.005420450713184557,89.54349784858866,0.00010950967205857982,0.00012685511434077038,1.7345442282190558e-05
0,9,0.40144579354837306,0.22570946894001767,0.09061011687000725,0.0764,0.0744,-0.014210116870007256,-0.016210116870007257,-0.0020000000000000018,0.6695499788650454,137.27290826607307,0.009514383449983184,0.010853483407713275,0.0013390999577300913
0,10,0.40144579354837306,0.37881171658931956,0.15207237017162079,0.1906,0.1878,0.038527629828379206,0.03572762982837921,-0.002799999999999997,10.686266304348463,25.056457550034665,-0.41171651242141943,-0.3817949667692438,0.02992154565217564
