i,j,pi_i,pi_j,pi_i_pi_j,pi_ij_cube,pi_ij_sphere,cov_cube,cov_sphere,delta,contrast_sq,aux_dist_sq,syg_contrib_cube,syg_contrib_sphere,syg_contrib_delta
0,1,0.4,0.4,0.16000000000000003,0.1622,0.1644,0.0021999999999999797,0.0043999999999999595,0.0021999999999999797,0.0,91.39622969476464,-0.0,-0.0,0.0
0,2,0.4,0.4,0.16000000000000003,0.1176,0.1186,-0.042400000000000035,-0.041400000000000034,0.0010000000000000009,6.25,74.7730052979061,0.26500000000000024,0.2587500000000002,-0.006250000000000033
0,3,0.4,0.4,0.16000000000000003,0.1522,0.1628,-0.007800000000000029,0.002799999999999969,0.010599999999999998,0.0,295.17301090579497,0.0,-0.0,-0.0
0,4,0.4,0.4,0.16000000000000003,0.1888,0.1906,0.028799999999999965,0.03059999999999996,0.001799999999999996,6.25,250.0701053867063,-0.17999999999999977,-0.19124999999999975,-0.011249999999999982
0,5,0.4,0.4,0.16000000000000003,0.1718,0.1766,0.011799999999999977,0.016599999999999976,0.004799999999999999,6.25,71.32679140665145,-0.07374999999999986,-0.10374999999999984,-0.029999999999999985
0,6,0.4,0.4,0.16000000000000003,0.1524,0.1538,-0.007600000000000023,-0.006200000000000039,0.0013999999999999846,0.0,27.21203501685296,0.0,0.0,0.0
0,7,0.4,0.4,0.16000000000000003,0.1804,0.1882,0.020399999999999974,0.028199999999999975,0.007800000000000001,6.25,119.3349507911648,-0.12749999999999984,-0.17624999999999985,-0.048750000000000016
0,8,0.4,0.4,0.16000000000000003,0.1442,0.143,-0.015800000000000036,-0.017000000000000043,-0.0012000000000000066,0.0,98.82558273279139,0.0,0.0,0.0
0,9,0.4,0.4,0.16000000000000003,0.1678,0.1662,0.007799999999999974,0.0061999999999999555,-0.001600000000000018,0.0,54.05101736945835,-0.0,-0.0,0.0
0,10,0.4,0.4,0.16000000000000003,0.1968,0.205,0.03679999999999997,0.04499999999999996,0.008199999999999985,0.0,116.8105771771859,-0.0,-0.0,0.0
0,11,0.4,0.4,0.16000000000000003,0.1562,0.1564,-0.0038000000000000256,-0.00360000000000002,0.00020000000000000573,0.0,90.82726753582472,0.0,0.0,0.0
0,12,0.4,0.4,0.16000000000000003,0.1718,0.1898,0.011799999999999977,0.029799999999999965,0.017999999999999988,6.25,80.49014560214746,-0.07374999999999986,-0.18624999999999978,-0.11249999999999992
0,13,0.4,0.4,0.16000000000000003,0.176,0.1782,0.01599999999999996,0.018199999999999966,0.0022000000000000075,6.25,39.668972667994026,-0.09999999999999974,-0.1137499999999998,-0.013750000000000054
0,14,0.4,0.4,0.16000000000000003,0.1908,0.1986,0.030799999999999966,0.03859999999999997,0.007800000000000001,0.0,145.3312148207435,-0.0,-0.0,0.0
0,15,0.4,0.4,0.16000000000000003,0.1524,0.1658,-0.007600000000000023,0.005799999999999972,0.013399999999999995,6.25,71.36727977596149,0.047500000000000146,-0.036249999999999824,-0.08374999999999996
0,16,0.4,0.4,0.16000000000000003,0.1632,0.1742,0.0031999999999999806,0.014199999999999963,0.010999999999999982,6.25,49.15331747078048,-0.01999999999999988,-0.08874999999999977,-0.0687499999999999
0,17,0.4,0.4,0.16000000000000003,0.222,0.2314,0.06199999999999997,0.07139999999999996,0.009399999999999992,0.0,146.33853061891142,-0.0,-0.0,0.0
0,18,0.4,0.4,0.16000000000000003,0.1672,0.1716,0.0071999999999999564,0.011599999999999971,0.004400000000000015,0.0,50.78049968019855,-0.0,-0.0,0.0
0,19,0.4,0.4,0.16000000000000003,0.1482,0.1504,-0.011800000000000033,-0.009600000000000025,0.0022000000000000075,6.25,43.59412639066884,0.0737500000000002,0.06000000000000016,-0.013750000000000047
0,20,0.4,0.4,0.16000000000000003,0.1514,0.1608,-0.008600000000000024,0.0007999999999999674,0.009399999999999992,6.25,55.03418068109678,0.05375000000000015,-0.004999999999999796,-0.05874999999999995
0,21,0.4,0.4,0.16000000000000003,0.1782,0.1786,0.018199999999999966,0.018599999999999978,0.00040000000000001146,0.0,114.88605338615008,-0.0,-0.0,0.0
0,22,0.4,0.4,0.16000000000000003,0.1342,0.1386,-0.025800000000000017,-0.02140000000000003,0.004399999999999987,0.0,79.9231948569501,0.0,0.0,0.0
0,23,0.4,0.4,0.16000000000000003,0.178,0.1942,0.01799999999999996,0.03419999999999998,0.01620000000000002,6.25,108.27274636198327,-0.11249999999999975,-0.21374999999999988,-0.10125000000000013
0,24,0.4,0.4,0.16000000000000003,0.1842,0.177,0.02419999999999997,0.01699999999999996,-0.007200000000000012,0.0,213.52734639783392,-0.0,-0.0,0.0
