i,j,pi_i,pi_j,pi_i_pi_j,pi_ij_cube,pi_ij_sphere,cov_cube,cov_sphere,delta,contrast_sq,aux_dist_sq,syg_contrib_cube,syg_contrib_sphere,syg_contrib_delta
0,1,0.40144579354837306,0.2302522375803923,0.0924337922317491,0.1078,0.101,0.0153662077682509,0.0085662077682509,-0.0068000000000000005,0.42308073485007763,140.7500047064385,-0.006501146474450562,-0.003624197477470034,0.0028769489969805283
0,2,0.40144579354837306,0.7432447021158329,0.29837245924151473,0.3118,0.3072,0.01342754075848529,0.008827540758485242,-0.0046000000000000485,26.315201846176016,35.85397502871016,-0.3533484453572958,-0.23229851686488487,0.12104992849241095
0,3,0.40144579354837306,0.5881609198522387,0.23611472720422302,0.2568,0.2582,0.02068527279577695,0.02208527279577696,0.0014000000000000123,1.000525530955464,189.50153103506113,-0.020696143546953344,-0.022096879290291006,-0.0014007357433376624
0,4,0.40144579354837306,0.35347646367044305,0.14190163945885367,0.1518,0.1572,0.009898360541146317,0.015298360541146333,0.005400000000000016,7.8829681671872205,286.793718593156,-0.07802846105319848,-0.12059648915600961,-0.04256802810281113
0,5,0.40144579354837306,0.2462007942881967,0.09883627323526488,0.0968,0.0948,-0.002036273235264882,-0.004036273235264884,-0.0020000000000000018,6.153025670579347,109.7276422135325,0.012529241488898477,0.024835292830057185,0.012306051341158707
0,6,0.40144579354837306,0.2523668605643421,0.10131161460456393,0.0932,0.0996,-0.00811161460456393,-0.0017116146045639408,0.006399999999999989,0.8637424692113864,29.399832465646952,0.007006346027837193,0.0014783942248843289,-0.005527951802952864
0,7,0.40144579354837306,0.2498529618398943,0.10030242053622775,0.1282,0.1254,0.027897579463772262,0.025097579463772265,-0.002799999999999997,36.09553208372312,196.31612305507267,-1.006977974592807,-0.9059104847583823,0.1010674898344246
0,8,0.40144579354837306,0.23864506254115914,0.09580305650823676,0.0666,0.064,-0.02920305650823675,-0.031803056508236754,-0.002600000000000005,0.9335583358928663,150.5956848238216,0.02726275683681484,0.029690008510136295,0.002427251673321456
0,9,0.40144579354837306,0.22570946894001767,0.09061011687000725,0.1,0.0964,0.009389883129992754,0.005789883129992748,-0.003600000000000006,2.7795248704144684,85.71412198213997,-0.026099413690100114,-0.01609312415660801,0.010006289533492103
0,10,0.40144579354837306,0.37881171658931956,0.15207237017162079,0.2062,0.2102,0.05412762982837921,0.05812762982837921,0.0040000000000000036,0.7768751933437634,121.36791533621273,-0.042050412888161755,-0.04515791366153681,-0.0031075007733750576
