N,p,f,pop_type,alpha,p_true,cube_e_max,cube_e_mean,cube_bias,cube_nfrac,cube_nsel,sph_e_max,sph_e_mean,sph_bias,sph_nfrac,sph_nsel,delta_e_max,delta_e_mean,delta_bias,rep
50,2,0.2,mixed,0.0,0.6,0.11986764269622499,0.11422897278670255,0.09999999999999998,2,9,0.49388457921264123,0.33319847558229476,0.0,2,11,0.3740169365164162,0.2189695027955922,-0.09999999999999998,0
50,2,0.2,mixed,0.0,0.6,0.5190637813815624,0.27291382194320446,0.09999999999999998,2,11,0.17648726710729998,0.14572203138197493,0.09999999999999998,2,10,-0.3425765142742624,-0.12719179056122953,0.0,1
50,2,0.2,mixed,0.0,0.6,0.2843569635485657,0.21017613987632677,0.09999999999999998,2,9,0.33647179485665135,0.20128076268301143,0.4,2,15,0.05211483130808564,-0.008895377193315346,0.30000000000000004,2
50,2,0.2,mixed,0.0,0.6,2.0340108203871847,1.0554655292288695,0.0,2,10,1.0894706135495351,0.6156188363390935,0.09999999999999998,2,11,-0.9445402068376496,-0.43984669288977596,0.09999999999999998,3
50,2,0.2,mixed,0.0,0.6,436.18568765144784,218.1909778556096,0.20000000000000007,2,12,4.297355994285009,2.20797867156951,-0.19999999999999996,2,11,-431.88833165716284,-215.98299918404007,-1.1102230246251565e-16,4
50,2,0.2,mixed,0.0,0.6,0.8693240027308657,0.4561037547206561,0.09999999999999998,2,9,2.4338285902341754,1.237765880147536,0.09999999999999998,2,11,1.5645045875033097,0.7816621254268799,0.0,5
50,2,0.2,mixed,0.0,0.6,0.5684087160545493,0.2904205002216037,0.0,2,12,26.57317205363302,13.360983334236577,-0.09999999999999998,2,7,26.00476333757847,13.070562834014973,0.09999999999999998,6
50,2,0.2,mixed,0.0,0.6,3.6859932958156802,1.8537268041664199,0.0,2,13,2.451748905522484,1.3328407715790236,-0.19999999999999996,2,9,-1.2342443902931963,-0.5208860325873963,0.19999999999999996,7
50,2,0.2,mixed,0.0,0.6,0.01537285464140894,0.010026281537988901,0.0,2,9,0.2411607388030003,0.13103870828254058,0.0,2,9,0.22578788416159135,0.12101242674455168,0.0,8
50,2,0.2,mixed,0.0,0.6,0.9060787497377556,0.5022289490827672,-0.09999999999999998,2,9,0.25771751855807395,0.2130629284079004,0.0,2,9,-0.6483612311796816,-0.28916602067486674,-0.09999999999999998,9
50,2,0.2,mixed,0.0,0.6,0.6916721040543837,0.3758851221172793,-0.09999999999999998,2,9,0.40621304722833423,0.2137544422352156,0.0,2,9,-0.2854590568260495,-0.1621306798820637,-0.09999999999999998,10
50,2,0.2,mixed,0.0,0.6,0.9745187105823835,0.6086483161902828,0.09999999999999998,2,10,0.55373502398884,0.2958174393160341,0.20000000000000007,2,14,-0.4207836865935435,-0.3128308768742487,0.10000000000000009,11
